Lead Name,Category,Priority,Status,Suggested Contact Channel,Website / Contact Page,Instagram Link,Facebook Link,Google Search Link,IG Search Link,Last Contact Date,Follow-up Date,Notes,Website Link,Best Contact Link
Teatru Salesjan,Community Theatre,Theatre venue,High,Not Contacted,Email / Instagram,https://tsmalta.com/,https://www.instagram.com/tsmalta/,info@tsmalta.com,+356 7799 7000,Free event visibility for a community theatre,"Strong fit: community theatre, outreach, local talent",,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Salesian Theatre / Oratory Sliema,Community Theatre,Youth/community venue,High,Not Contacted,Email / Facebook,https://tsmalta.com/,https://www.facebook.com/tsmalta/,info@tsmalta.com,+356 7799 7000,Help families discover upcoming theatre/youth events,Same ecosystem as Teatru Salesjan,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
MADC - Malta Amateur Dramatic Club,Community Theatre,Amateur theatre,High,Not Contacted,Website / Facebook,https://www.madc.com.mt/,https://www.facebook.com/theMADCpage/,,,Help promote amateur productions to new audiences,Oldest amateur dramatic society,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Hoi Polloi Malta,Community Theatre,Theatre academy/company,High,Not Contacted,Website / Social,https://www.hoipolloimalta.com/,https://www.google.com/search?q=Hoi+Polloi+Malta+Instagram,,,Promote academy showcases and theatre events,Good youth/performance angle,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
TAC Theatre,Community Theatre,Theatre production,High,Not Contacted,Website / Social,https://www.tactheatre.com/,https://www.google.com/search?q=TAC+Theatre+Malta+contact,,,List productions and community projects free,"Runs theatre, comedy, musical and community projects",,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Kinemastik,Community Culture,Film/community screenings,High,Not Contacted,Website / Social,https://www.kinemastik.org/,https://www.google.com/search?q=Kinemastik+Malta+contact,,,Promote screenings and community cultural events,Non-profit/art collective type,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Studio 18 Malta,Community Theatre,Youth theatre,High,Not Contacted,Website / Social,https://www.google.com/search?q=Studio+18+Malta+theatre,https://www.google.com/search?q=Studio+18+Malta+Instagram,,,Reach young audiences and parents,Youth theatre company,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Opening Doors Association,Inclusion / Arts,Inclusive arts,High,Not Contacted,Website / Social,https://openingdoors.org.mt/,https://www.google.com/search?q=Opening+Doors+Association+Malta+events,,,Promote inclusive arts events free,Strong social-impact fit,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Society of Arts,Community Culture,Arts education/events,High,Not Contacted,Website / Social,https://www.artsmalta.org/,https://www.google.com/search?q=Malta+Society+of+Arts+events,,,"Promote talks, exhibitions and courses",Good recurring events,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Din l-Art ?elwa,Heritage NGO,Heritage tours/events,High,Not Contacted,Website / Social,https://dinlarthelwa.org/,https://www.google.com/search?q=Din+l-Art+Helwa+events,,,Help promote heritage events/tours,NGO with events,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Fondazzjoni Wirt Artna,Heritage NGO,Heritage events,High,Not Contacted,Website / Social,https://www.wirtartna.org/,https://www.google.com/search?q=Fondazzjoni+Wirt+Artna+events,,,List historical talks and site events,Heritage-focused,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Libraries,Public Culture,Library events,High,Not Contacted,Website / Social,https://maltalibraries.gov.mt/,https://www.facebook.com/MaltaLibraries/,,,Promote free talks/kids/library events,Great low-budget/community angle,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Council for the Voluntary Sector,Voluntary Sector,NGO network,High,Not Contacted,Website / Social,https://maltacvs.org/,https://www.google.com/search?q=Malta+Council+Voluntary+Sector+events,,,Offer free event listing for NGOs,Could unlock many small NGOs,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Volunteers Malta,Voluntary Sector,Volunteer events,High,Not Contacted,Website / Social,https://volunteers.mt/,https://www.google.com/search?q=Volunteers+Malta+events,,,Promote volunteer/community events,Good supply source,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
YMCA Malta,NGO / Community,Youth/community,High,Not Contacted,Website / Social,https://ymcamalta.org/,https://www.google.com/search?q=YMCA+Malta+events,,,List youth and community events,Good target,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Girl Guides,Youth Organisation,Youth/community,High,Not Contacted,Website / Social,https://maltagirlguides.com/,https://www.google.com/search?q=Malta+Girl+Guides+events,,,Promote family/youth activities,Youth org,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Scout Association of Malta,Youth Organisation,Youth/community,High,Not Contacted,Website / Social,https://scouts.mt/,https://www.google.com/search?q=Scouts+Malta+events,,,Promote family/community activities,Youth org,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
?igu?ajg Festival,Family / Culture,Children's arts,High,Not Contacted,Website / Social,https://ziguzajg.org/,https://www.google.com/search?q=ZiguZajg+Malta+contact,,,Promote children's arts events,Very aligned with family discovery,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Esplora Interactive Science Centre,Family / Education,Kids workshops,High,Not Contacted,Website / Social,https://esplora.org.mt/,https://www.facebook.com/EsploraMT/,,,Promote family workshops/events,Recurring family events,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Nature Trust Malta,Environment NGO,Nature/family events,High,Not Contacted,Website / Social,https://naturetrustmalta.org/,https://www.google.com/search?q=Nature+Trust+Malta+events,,,Promote nature walks and educational events,Great for families,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
BirdLife Malta,Environment NGO,Nature events,High,Not Contacted,Website / Social,https://birdlifemalta.org/,https://www.google.com/search?q=BirdLife+Malta+events,,,"Promote nature walks, talks and family events",Recurring public activities,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
